,State,countyFIPS,County Name,Date,Num of Cases,Num of Deaths,population,Num of Cases per day,Num of Death per day
456529,NC,37001,alamance county,2020-03-29,8.802563281625472e-27,0.0,169509,1.4670938802709112e-27,0.0
456530,NC,37001,alamance county,2020-03-30,1.0269657161896384e-26,0.0,169509,1.4670938802709126e-27,0.0
456531,NC,37001,alamance county,2020-03-31,1.0269657161896384e-26,0.0,169509,0.0,0.0
456532,NC,37001,alamance county,2020-04-01,1.0269657161896384e-26,0.0,169509,0.0,0.0
456533,NC,37001,alamance county,2020-04-02,1.9072220443521857e-26,0.0,169509,8.802563281625473e-27,0.0
456534,NC,37001,alamance county,2020-04-03,2.0539314323792768e-26,0.0,169509,1.4670938802709112e-27,0.0
456535,NC,37001,alamance county,2020-04-04,2.3473502084334594e-26,0.0,169509,2.9341877605418253e-27,0.0
456536,NC,37001,alamance county,2020-04-05,2.6407689844876413e-26,0.0,169509,2.9341877605418195e-27,0.0
456537,NC,37001,alamance county,2020-04-06,2.6407689844876413e-26,0.0,169509,0.0,0.0
456538,NC,37001,alamance county,2020-04-07,3.5210253126501886e-26,0.0,169509,8.802563281625473e-27,0.0
456539,NC,37001,alamance county,2020-04-08,3.961153476731462e-26,0.0,169509,4.4012816408127365e-27,0.0
456540,NC,37001,alamance county,2020-04-09,4.254572252785644e-26,0.0,169509,2.9341877605418167e-27,0.0
456541,NC,37001,alamance county,2020-04-10,4.8414098048940084e-26,0.0,169509,5.868375521083645e-27,0.0
456542,NC,37001,alamance county,2020-04-11,4.988119192921102e-26,0.0,169509,1.467093880270937e-27,0.0
456543,NC,37001,alamance county,2020-04-12,5.281537968975283e-26,0.0,169509,2.9341877605418052e-27,0.0
456544,NC,37001,alamance county,2020-04-13,5.868375521083648e-26,0.0,169509,5.868375521083656e-27,0.0
456545,NC,37001,alamance county,2020-04-14,6.161794297137831e-26,0.0,169509,2.934187760541828e-27,0.0
456546,NC,37001,alamance county,2020-04-15,6.161794297137831e-26,0.0,169509,0.0,0.0
456547,NC,37001,alamance county,2020-04-16,6.601922461219101e-26,0.0,169509,4.401281640812702e-27,0.0
456548,NC,37001,alamance county,2020-04-17,6.895341237273286e-26,0.0,169509,2.934187760541851e-27,0.0
456549,NC,37001,alamance county,2020-04-18,6.895341237273286e-26,0.0,169509,0.0,0.0
456550,NC,37001,alamance county,2020-04-19,7.188760013327468e-26,0.0,169509,2.9341877605418167e-27,0.0
456551,NC,37001,alamance county,2020-04-20,7.188760013327468e-26,0.0,169509,0.0,0.0
456552,NC,37001,alamance county,2020-04-21,7.628888177408743e-26,0.0,169509,4.401281640812748e-27,0.0
456553,NC,37001,alamance county,2020-04-22,8.069016341490014e-26,0.0,169509,4.4012816408127135e-27,0.0
456554,NC,37001,alamance county,2020-04-23,9.242691445706744e-26,0.0,169509,1.1736751042167301e-26,0.0
456555,NC,37001,alamance county,2020-04-24,1.0709785325977655e-25,1.4670938802709121e-27,169509,1.4670938802709106e-26,1.4670938802709121e-27
456556,NC,37001,alamance county,2020-04-25,1.129662287808602e-25,1.4670938802709121e-27,169509,5.868375521083656e-27,0.0
456557,NC,37001,alamance county,2020-04-26,1.203016981822148e-25,1.4670938802709121e-27,169509,7.335469401354599e-27,0.0
456558,NC,37001,alamance county,2020-04-27,1.3350554310465301e-25,1.4670938802709121e-27,169509,1.320384492243821e-26,0.0
456559,NC,37001,alamance county,2020-04-28,1.3497263698492389e-25,1.4670938802709121e-27,169509,1.4670938802708739e-27,0.0
456560,NC,37001,alamance county,2020-04-29,1.393739186257366e-25,1.4670938802709121e-27,169509,4.4012816408127135e-27,0.0
456561,NC,37001,alamance county,2020-04-30,1.4524229414682026e-25,1.4670938802709121e-27,169509,5.868375521083656e-27,0.0
456562,NC,37001,alamance county,2020-05-01,1.5551195130871667e-25,1.4670938802709121e-27,169509,1.0269657161896416e-26,0.0
456563,NC,37001,alamance county,2020-05-02,1.7751835951278036e-25,2.9341877605418242e-27,169509,2.2006408204063682e-26,1.4670938802709121e-27
456564,NC,37001,alamance county,2020-05-03,1.819196411535931e-25,2.9341877605418242e-27,169509,4.4012816408127365e-27,0.0
456565,NC,37001,alamance county,2020-05-04,1.8485382891413489e-25,2.9341877605418242e-27,169509,2.9341877605417937e-27,0.0
456566,NC,37001,alamance county,2020-05-05,1.8485382891413489e-25,4.401281640812736e-27,169509,0.0,1.4670938802709116e-27
456567,NC,37001,alamance county,2020-05-06,1.8778801667467675e-25,4.401281640812736e-27,169509,2.9341877605418626e-27,0.0
456568,NC,37001,alamance county,2020-05-07,2.097944248787404e-25,4.401281640812736e-27,169509,2.2006408204063637e-26,0.0
456569,NC,37001,alamance county,2020-05-08,2.185969881603659e-25,4.401281640812736e-27,169509,8.802563281625519e-27,0.0
456570,NC,37001,alamance county,2020-05-09,2.2299826980117857e-25,5.8683755210836484e-27,169509,4.4012816408126676e-27,1.4670938802709126e-27
456571,NC,37001,alamance county,2020-05-10,2.5234014740659683e-25,7.33546940135456e-27,169509,2.934187760541826e-26,1.467093880270912e-27
456572,NC,37001,alamance county,2020-05-11,2.611427106882223e-25,7.33546940135456e-27,169509,8.802563281625473e-27,0.0
456573,NC,37001,alamance county,2020-05-12,2.6407689844876405e-25,1.1736751042167297e-26,169509,2.9341877605417478e-27,4.4012816408127365e-27
456574,NC,37001,alamance county,2020-05-13,2.6554399232903506e-25,1.1736751042167297e-26,169509,1.4670938802710117e-27,0.0
456575,NC,37001,alamance county,2020-05-14,2.787478372514732e-25,1.3203844922438207e-26,169509,1.320384492243814e-26,1.4670938802709098e-27
456576,NC,37001,alamance county,2020-05-15,2.860833066528278e-25,1.3203844922438207e-26,169509,7.335469401354599e-27,0.0
456577,NC,37001,alamance county,2020-05-16,2.9782005769499516e-25,1.3203844922438207e-26,169509,1.1736751042167359e-26,0.0
456578,NC,37001,alamance county,2020-05-17,3.036884332160787e-25,1.6138032682980032e-26,169509,5.8683755210835415e-27,2.9341877605418253e-27
456579,NC,37001,alamance county,2020-05-18,3.1542518425824606e-25,1.6138032682980032e-26,169509,1.1736751042167359e-26,0.0
456580,NC,37001,alamance county,2020-05-19,3.2716193530041337e-25,1.7605126563250943e-26,169509,1.1736751042167313e-26,1.4670938802709112e-27
456581,NC,37001,alamance county,2020-05-20,3.359644985820388e-25,1.7605126563250943e-26,169509,8.802563281625427e-27,0.0
456582,NC,37001,alamance county,2020-05-21,3.462341557439352e-25,1.7605126563250943e-26,169509,1.0269657161896393e-26,0.0
456583,NC,37001,alamance county,2020-05-22,3.6090509454664435e-25,1.7605126563250943e-26,169509,1.4670938802709152e-26,0.0
456584,NC,37001,alamance county,2020-05-23,3.770431272296243e-25,1.9072220443521857e-26,169509,1.6138032682979934e-26,1.467093880270914e-27
456585,NC,37001,alamance county,2020-05-24,3.8291150275070796e-25,1.9072220443521857e-26,169509,5.868375521083679e-27,0.0
456586,NC,37001,alamance county,2020-05-25,4.0198372319422983e-25,2.2006408204063682e-26,169509,1.9072220443521866e-26,2.9341877605418253e-27
456587,NC,37001,alamance county,2020-05-26,4.0198372319422983e-25,2.787478372514732e-26,169509,0.0,5.868375521083639e-27
456588,NC,37001,alamance county,2020-05-27,4.1225338035612613e-25,2.934187760541824e-26,169509,1.0269657161896301e-26,1.4670938802709198e-27
456589,NC,37001,alamance county,2020-05-28,4.298585069193772e-25,2.934187760541824e-26,169509,1.7605126563251084e-26,0.0
456590,NC,37001,alamance county,2020-05-29,4.5039782124317e-25,2.934187760541824e-26,169509,2.0539314323792786e-26,0.0
456591,NC,37001,alamance county,2020-05-30,4.8267388660913005e-25,2.934187760541824e-26,169509,3.227606536596005e-26,0.0
456592,NC,37001,alamance county,2020-05-31,4.8267388660913005e-25,2.934187760541824e-26,169509,0.0,0.0
456593,NC,37001,alamance county,2020-06-01,5.340221724186121e-25,2.934187760541824e-26,169509,5.134828580948201e-26,0.0
456594,NC,37001,alamance county,2020-06-02,5.3989054793969555e-25,2.934187760541824e-26,169509,5.8683755210834956e-27,0.0
456595,NC,37001,alamance county,2020-06-03,5.604298622634884e-25,2.934187760541824e-26,169509,2.0539314323792877e-26,0.0
456596,NC,37001,alamance county,2020-06-04,5.83903364347823e-25,2.934187760541824e-26,169509,2.3473502084334533e-26,0.0
456597,NC,37001,alamance county,2020-06-05,6.264490868756793e-25,2.934187760541824e-26,169509,4.254572252785631e-26,0.0
456598,NC,37001,alamance county,2020-06-06,6.616593400021813e-25,3.374315924623097e-26,169509,3.5210253126501984e-26,4.401281640812731e-27
456599,NC,37001,alamance county,2020-06-07,6.8219865432597395e-25,3.374315924623097e-26,169509,2.0539314323792694e-26,0.0
456600,NC,37001,alamance county,2020-06-08,7.247443768538304e-25,3.374315924623097e-26,169509,4.254572252785649e-26,0.0
456601,NC,37001,alamance county,2020-06-09,7.6142172386060325e-25,3.374315924623097e-26,169509,3.667734700677281e-26,0.0
456602,NC,37001,alamance county,2020-06-10,7.980990708673763e-25,3.374315924623097e-26,169509,3.667734700677309e-26,0.0
456603,NC,37001,alamance county,2020-06-11,8.523815444373996e-25,3.374315924623097e-26,169509,5.42824735700233e-26,0.0
456604,NC,37001,alamance county,2020-06-12,9.404071772536548e-25,4.5479910288398273e-26,169509,8.802563281625519e-26,1.1736751042167301e-26
456605,NC,37001,alamance county,2020-06-13,1.0269657161896385e-24,4.694700416866919e-26,169509,8.655853893598372e-26,1.467093880270914e-27
456606,NC,37001,alamance county,2020-06-14,1.0885836591610166e-24,4.8414098048940084e-26,169509,6.161794297137808e-26,1.4670938802708969e-27
456607,NC,37001,alamance county,2020-06-15,1.1413990388507696e-24,4.988119192921102e-26,169509,5.281537968975293e-26,1.467093880270937e-27
456608,NC,37001,alamance county,2020-06-16,1.167806728695646e-24,4.988119192921102e-26,169509,2.6407689844876373e-26,0.0
456609,NC,37001,alamance county,2020-06-17,1.1883460430194386e-24,5.1348285809481924e-26,169509,2.0539314323792694e-26,1.4670938802709026e-27
456610,NC,37001,alamance county,2020-06-18,1.229424671667024e-24,5.1348285809481924e-26,169509,4.107862864758539e-26,0.0
456611,NC,37001,alamance county,2020-06-19,1.2954438962792154e-24,5.1348285809481924e-26,169509,6.601922461219139e-26,0.0
456612,NC,37001,alamance county,2020-06-20,1.3482592759689678e-24,5.1348285809481924e-26,169509,5.281537968975238e-26,0.0
456613,NC,37001,alamance county,2020-06-21,1.3776011535743864e-24,5.1348285809481924e-26,169509,2.934187760541858e-26,0.0
456614,NC,37001,alamance county,2020-06-22,1.3878708107362822e-24,5.1348285809481924e-26,169509,1.0269657161895888e-26,0.0
456615,NC,37001,alamance county,2020-06-23,1.4216139699825134e-24,5.281537968975283e-26,169509,3.3743159246231156e-26,1.4670938802709026e-27
456616,NC,37001,alamance county,2020-06-24,1.4582913169892864e-24,5.281537968975283e-26,169509,3.6677347006772995e-26,0.0
456617,NC,37001,alamance county,2020-06-25,1.4802977251933498e-24,5.281537968975283e-26,169509,2.200640820406343e-26,0.0
456618,NC,37001,alamance county,2020-06-26,1.5140408844395812e-24,5.281537968975283e-26,169509,3.374315924623134e-26,0.0
456619,NC,37001,alamance county,2020-06-27,1.5639220763687923e-24,5.281537968975283e-26,169509,4.988119192921109e-26,0.0
456620,NC,37001,alamance county,2020-06-28,1.5961981417347527e-24,5.428247357002375e-26,169509,3.227606536596042e-26,1.4670938802709198e-27
456621,NC,37001,alamance county,2020-06-29,1.6343425826217964e-24,5.428247357002375e-26,169509,3.814444088704373e-26,0.0
456622,NC,37001,alamance county,2020-06-30,1.6446122397836917e-24,5.428247357002375e-26,169509,1.0269657161895337e-26,0.0
456623,NC,37001,alamance county,2020-07-01,1.6886250561918197e-24,5.428247357002375e-26,169509,4.401281640812796e-26,0.0
456624,NC,37001,alamance county,2020-07-02,1.7297036848394047e-24,5.428247357002375e-26,169509,4.107862864758502e-26,0.0
456625,NC,37001,alamance county,2020-07-03,1.770782313486991e-24,5.428247357002375e-26,169509,4.107862864758612e-26,0.0
456626,NC,37001,alamance county,2020-07-04,1.8191964115359307e-24,5.428247357002375e-26,169509,4.8414098048939803e-26,0.0
456627,NC,37001,alamance county,2020-07-05,1.869077603465142e-24,5.428247357002375e-26,169509,4.9881191929211274e-26,0.0
456628,NC,37001,alamance county,2020-07-06,1.8954852933100177e-24,5.428247357002375e-26,169509,2.640768984487582e-26,0.0
456629,NC,37001,alamance county,2020-07-07,1.920425889274624e-24,5.428247357002375e-26,169509,2.4940595964606188e-26,0.0
456630,NC,37001,alamance county,2020-07-08,1.935096828077333e-24,5.428247357002375e-26,169509,1.4670938802709198e-26,0.0
456631,NC,37001,alamance county,2020-07-09,1.9908463955276277e-24,5.428247357002375e-26,169509,5.574956745029459e-26,0.0
456632,NC,37001,alamance county,2020-07-10,2.0363263058160257e-24,5.428247357002375e-26,169509,4.5479910288397963e-26,0.0
456633,NC,37001,alamance county,2020-07-11,2.0553985262595475e-24,5.428247357002375e-26,169509,1.9072220443521774e-26,0.0
456634,NC,37001,alamance county,2020-07-12,2.0950100610268625e-24,5.428247357002375e-26,169509,3.961153476731502e-26,0.0
456635,NC,37001,alamance county,2020-07-13,2.1419570651955308e-24,5.428247357002375e-26,169509,4.694700416866833e-26,0.0
456636,NC,37001,alamance county,2020-07-14,2.1889040693642002e-24,5.428247357002375e-26,169509,4.6947004168669434e-26,0.0
456637,NC,37001,alamance county,2020-07-15,2.2519891062158503e-24,5.428247357002375e-26,169509,6.30850368516501e-26,0.0
456638,NC,37001,alamance county,2020-07-16,2.3018702981450605e-24,5.428247357002375e-26,169509,4.988119192921017e-26,0.0
456639,NC,37001,alamance county,2020-07-17,2.3576198655953547e-24,5.574956745029464e-26,169509,5.574956745029422e-26,1.4670938802708969e-27
456640,NC,37001,alamance county,2020-07-18,2.4177707146864634e-24,5.721666133056556e-26,169509,6.015084909110863e-26,1.4670938802709198e-27
456641,NC,37001,alamance county,2020-07-19,2.4705860943762157e-24,5.721666133056556e-26,169509,5.281537968975238e-26,0.0
456642,NC,37001,alamance county,2020-07-20,2.5204672863054274e-24,5.721666133056556e-26,169509,4.988119192921164e-26,0.0
456643,NC,37001,alamance county,2020-07-21,2.57474975987545e-24,5.868375521083648e-26,169509,5.428247357002275e-26,1.4670938802709198e-27
456644,NC,37001,alamance county,2020-07-22,2.6539728294100794e-24,5.868375521083648e-26,169509,7.92230695346293e-26,0.0
456645,NC,37001,alamance county,2020-07-23,2.7023869274590196e-24,5.868375521083648e-26,169509,4.841409804894017e-26,0.0
456646,NC,37001,alamance county,2020-07-24,2.781609996993649e-24,5.868375521083648e-26,169509,7.92230695346293e-26,0.0
456647,NC,37001,alamance county,2020-07-25,2.8168202501201514e-24,5.868375521083648e-26,169509,3.5210253126502443e-26,0.0
456648,NC,37001,alamance county,2020-07-26,2.8667014420493623e-24,6.01508490911074e-26,169509,4.9881191929210906e-26,1.4670938802709198e-27
456649,NC,37001,alamance county,2020-07-27,2.8945762257745085e-24,6.01508490911074e-26,169509,2.787478372514619e-26,0.0
456650,NC,37001,alamance county,2020-07-28,2.9767334830696807e-24,6.01508490911074e-26,169509,8.215725729517224e-26,0.0
456651,NC,37001,alamance county,2020-07-29,3.031015956639705e-24,6.01508490911074e-26,169509,5.428247357002422e-26,0.0
456652,NC,37001,alamance county,2020-07-30,3.082364242449186e-24,6.01508490911074e-26,169509,5.134828580948091e-26,0.0
456653,NC,37001,alamance county,2020-07-31,3.151317654821918e-24,6.01508490911074e-26,169509,6.895341237273231e-26,0.0
456654,NC,37001,alamance county,2020-08-01,3.2114685039130268e-24,6.01508490911074e-26,169509,6.015084909110863e-26,0.0
456655,NC,37001,alamance county,2020-08-02,3.237876193757902e-24,6.01508490911074e-26,169509,2.640768984487509e-26,0.0
456656,NC,37001,alamance county,2020-08-03,3.298027042849009e-24,6.01508490911074e-26,169509,6.015084909110716e-26,0.0
456657,NC,37001,alamance county,2020-08-04,3.344974047017678e-24,6.01508490911074e-26,169509,4.6947004168669067e-26,0.0
456658,NC,37001,alamance county,2020-08-05,3.3713817368625565e-24,6.01508490911074e-26,169509,2.6407689844878393e-26,0.0
456659,NC,37001,alamance county,2020-08-06,3.437400961474747e-24,6.01508490911074e-26,169509,6.601922461219047e-26,0.0
456660,NC,37001,alamance county,2020-08-07,3.4696770268407075e-24,6.01508490911074e-26,169509,3.2276065365960603e-26,0.0
456661,NC,37001,alamance county,2020-08-08,3.515156937129105e-24,6.01508490911074e-26,169509,4.547991028839723e-26,0.0
456662,NC,37001,alamance county,2020-08-09,3.5914458189031926e-24,6.01508490911074e-26,169509,7.628888177408783e-26,0.0
456663,NC,37001,alamance county,2020-08-10,3.626656072029695e-24,6.01508490911074e-26,169509,3.5210253126502076e-26,0.0
456664,NC,37001,alamance county,2020-08-11,3.661866325156196e-24,6.01508490911074e-26,169509,3.521025312650134e-26,0.0
456665,NC,37001,alamance county,2020-08-12,3.661866325156196e-24,6.01508490911074e-26,169509,0.0,0.0
